minutes,predmin,datetime,player_id
0,65.16211869195104,2025-01-19,508.0
0,22.642470184713602,2025-01-25,508.0
0,12.36310674622655,2025-02-02,508.0
0,10.394119393080473,2025-02-15,508.0
0,10.394119393080473,2025-02-23,508.0
19,10.394119393080473,2025-02-26,508.0
7,12.36310674622655,2025-03-08,508.0
70,39.32467922195792,2025-03-15,508.0
0,53.61754350736737,2025-04-02,508.0
73,53.61754350736737,2025-04-06,508.0
61,42.308185171335936,2025-04-12,508.0
90,50.31112667545676,2025-04-19,508.0
0,80.7755776681006,2025-04-22,508.0
0,80.7755776681006,2025-05-02,508.0
0,56.61355593428016,2025-05-10,508.0
0,12.36310674622655,2025-05-20,508.0
24,10.394119393080473,2022-08-07,508.0
26,12.36310674622655,2023-02-05,508.0
0,0.7063800059258938,2023-02-12,508.0
0,0.7063800059258938,2023-02-15,508.0
0,0.7063800059258938,2023-02-18,508.0
0,12.36310674622655,2023-02-25,508.0
0,10.394119393080473,2023-03-04,508.0
0,10.394119393080473,2023-03-11,508.0
8,10.394119393080473,2023-04-01,508.0
0,12.36310674622655,2023-04-08,508.0
0,12.36310674622655,2023-04-15,508.0
90,12.36310674622655,2023-04-26,508.0
0,13.008670341223478,2023-04-30,508.0
45,12.36310674622655,2023-05-03,508.0
83,21.549117010086775,2023-05-06,508.0
76,75.3097436092794,2023-05-14,508.0
79,79.70770736411214,2023-05-21,508.0
0,93.45936163887382,2023-05-24,508.0
0,10.394119393080473,2023-05-28,508.0
0,10.394119393080473,2025-03-16,11.0
0,10.394119393080473,2025-04-01,11.0
0,10.394119393080473,2025-04-05,11.0
0,10.394119393080473,2025-04-12,11.0
0,10.394119393080473,2025-04-20,11.0
0,10.394119393080473,2025-04-23,11.0
0,10.394119393080473,2025-05-03,11.0
0,10.394119393080473,2025-05-11,11.0
0,10.394119393080473,2025-05-18,11.0
0,10.394119393080473,2023-08-12,11.0
0,10.394119393080473,2024-02-04,11.0
0,10.394119393080473,2024-02-11,11.0
0,10.394119393080473,2024-02-17,11.0
0,10.394119393080473,2024-02-24,11.0
0,10.394119393080473,2024-03-04,11.0
0,10.394119393080473,2024-03-09,11.0
0,10.394119393080473,2024-03-31,11.0
0,10.394119393080473,2024-04-03,11.0
0,10.394119393080473,2024-04-06,11.0
0,10.394119393080473,2024-04-14,11.0
0,10.394119393080473,2024-04-20,11.0
0,10.394119393080473,2024-04-23,11.0
0,10.394119393080473,2024-04-28,11.0
0,10.394119393080473,2024-05-04,11.0
0,10.394119393080473,2024-05-12,11.0
0,10.394119393080473,2024-05-19,11.0
0,10.394119393080473,2022-08-05,11.0
0,10.394119393080473,2023-02-11,11.0
0,10.394119393080473,2023-02-15,11.0
0,10.394119393080473,2023-02-18,11.0
0,10.394119393080473,2023-02-25,11.0
0,10.394119393080473,2023-03-01,11.0
0,10.394119393080473,2023-03-04,11.0
0,10.394119393080473,2023-03-12,11.0
0,10.394119393080473,2023-03-19,11.0
0,10.394119393080473,2023-04-01,11.0
0,10.394119393080473,2023-04-09,11.0
0,10.394119393080473,2023-04-16,11.0
0,10.394119393080473,2023-04-21,11.0
0,10.394119393080473,2023-04-26,11.0
0,10.394119393080473,2023-05-02,11.0
0,10.394119393080473,2023-05-07,11.0
0,10.394119393080473,2023-05-14,11.0
0,10.394119393080473,2023-05-20,11.0
0,10.394119393080473,2023-05-28,11.0
0,10.394119393080473,2025-01-16,639.0
0,10.394119393080473,2025-01-19,639.0
0,10.394119393080473,2025-01-25,639.0
0,10.394119393080473,2025-02-01,639.0
0,10.394119393080473,2025-02-15,639.0
1,4.266110707074404,2025-02-22,639.0
0,31.026287373155355,2025-02-25,639.0
0,21.42246600612998,2025-03-08,639.0
0,12.36310674622655,2025-03-15,639.0
0,12.36310674622655,2025-04-02,639.0
20,10.394119393080473,2025-04-06,639.0
20,12.36310674622655,2025-04-12,639.0
1,37.59928309544921,2025-04-19,639.0
10,70.79716810956597,2025-04-26,639.0
0,72.86277466639876,2025-05-03,639.0
21,19.75392047688365,2025-05-10,639.0
6,86.76303783431649,2025-05-18,639.0
9,22.77470887824893,2023-05-28,639.0
0,15.8041079826653,2025-02-01,796.0
0,15.8041079826653,2025-02-16,796.0
0,20.09949564561248,2025-02-22,796.0
14,12.36310674622655,2025-02-25,796.0
0,12.36310674622655,2025-03-08,796.0
10,12.36310674622655,2025-03-15,796.0
11,5.468973498791456,2025-04-01,796.0
18,53.76747589185834,2025-04-05,796.0
24,-0.22139712795615196,2025-04-13,796.0
0,17.273065622895956,2025-04-20,796.0
20,-22.337982174009085,2025-04-26,796.0
0,90.81342978402972,2025-05-02,796.0
0,25.899084221571684,2025-05-10,796.0
8,12.36310674622655,2025-05-20,796.0
0,22.710926812142134,2025-01-15,265.0
29,12.36310674622655,2025-01-18,265.0
0,38.166027780622244,2025-01-26,265.0
5,38.166027780622244,2025-02-02,265.0
0,-32.136200461536646,2025-02-15,265.0
70,-32.136200461536646,2025-02-22,265.0
0,17.27081486955285,2025-02-25,265.0
8,17.27081486955285,2025-03-08,265.0
15,79.03821915015578,2025-04-02,265.0
29,72.85358255729079,2025-04-05,265.0
10,92.38793809339404,2025-04-12,265.0
8,92.38793809339404,2025-04-16,265.0
0,81.52506340667605,2025-04-19,265.0
0,42.98476256802678,2025-04-23,265.0
0,27.788813341408968,2025-05-05,265.0
0,12.36310674622655,2025-05-11,265.0
0,10.394119393080473,2025-05-20,265.0
0,10.394119393080473,2023-08-12,265.0
0,10.394119393080473,2024-01-20,265.0
0,10.394119393080473,2024-01-30,265.0
0,10.394119393080473,2024-02-03,265.0
1,10.394119393080473,2024-02-12,265.0
0,49.81037340685725,2024-02-19,265.0
22,74.45814063772559,2024-02-24,265.0
33,33.41965363547206,2024-03-02,265.0
0,55.445103120058775,2024-03-09,265.0
0,20.09949564561248,2024-03-30,265.0
0,20.09949564561248,2024-04-02,265.0
0,12.36310674622655,2024-04-06,265.0
1,10.394119393080473,2024-04-14,265.0
8,12.36310674622655,2024-04-21,265.0
33,7.674913104623556,2024-04-24,265.0
0,30.486115988343954,2024-04-27,265.0
18,30.486115988343954,2024-05-06,265.0
16,53.565693121403456,2024-05-11,265.0
16,34.720288287848234,2024-05-19,265.0
77,15.12837791070342,2023-02-04,265.0
74,50.07685415819287,2025-01-18,576.0
45,78.9251569993794,2025-01-25,576.0
0,46.80258182808757,2025-02-01,576.0
58,5.663113746792078,2025-02-15,576.0
11,69.75650742277503,2025-02-23,576.0
0,21.127249840646982,2025-02-26,576.0
0,14.355813834816217,2025-03-10,576.0
0,14.355813834816217,2025-04-02,576.0
16,12.36310674622655,2025-04-07,576.0
0,12.36310674622655,2025-04-13,576.0
0,12.36310674622655,2025-04-16,576.0
0,12.36310674622655,2025-04-19,576.0
7,12.36310674622655,2025-04-26,576.0
0,12.36310674622655,2025-05-04,576.0
0,12.36310674622655,2025-05-11,576.0
5,12.36310674622655,2025-05-18,576.0
0,5.468973498791456,2023-08-12,576.0
9,12.36310674622655,2024-04-24,576.0
27,31.582804437726736,2024-04-27,576.0
59,33.74753959104419,2024-05-04,576.0
45,12.443554822355509,2024-05-11,576.0
85,11.431184131652117,2024-05-15,576.0
85,86.3763851262629,2024-05-19,576.0
90,95.3718759007752,2022-08-06,576.0
90,15.12837791070342,2023-02-04,576.0
90,37.59928309544921,2023-02-11,576.0
90,74.4400337152183,2023-02-18,576.0
90,10.394119393080473,2023-03-04,576.0
90,10.394119393080473,2023-03-12,576.0
90,10.394119393080473,2023-03-17,576.0
90,10.394119393080473,2023-04-02,576.0
90,10.394119393080473,2023-04-05,576.0
