,Unnamed: 0,player_id,datetime,minutes,predmin
0,0,252,2024-09-21,0,0
1,1,252,2024-09-28,0,0
2,2,252,2024-10-06,0,0
3,3,252,2024-10-20,0,0
4,4,252,2024-10-27,0,0
5,5,252,2024-11-03,0,0
6,6,252,2024-11-10,0,0
7,7,252,2024-11-23,0,0
8,8,252,2024-12-01,0,0
9,9,252,2024-12-04,90,0
10,10,252,2024-12-08,0,60
11,11,252,2024-12-15,0,34
12,12,252,2024-12-22,0,29
13,13,252,2024-12-26,0,26
14,14,252,2024-12-30,90,0
15,15,252,2025-01-04,0,59
16,16,252,2025-01-14,0,34
17,17,252,2025-01-20,0,29
18,18,252,2025-01-25,0,27
19,19,252,2025-02-03,90,0
20,20,252,2025-02-14,90,60
21,21,252,2025-02-22,90,90
22,22,252,2025-02-25,90,90
23,23,252,2025-03-09,0,90
24,24,252,2025-03-16,0,42
25,25,252,2025-04-03,0,28
26,26,252,2025-04-06,0,25
27,27,252,2025-04-13,0,0
28,28,252,2025-04-20,0,0
29,29,252,2025-04-26,0,0
30,30,252,2025-05-04,0,0
31,31,252,2025-05-11,0,0
32,32,252,2025-05-16,0,0
33,33,107,2024-09-21,90,34
34,34,107,2024-09-30,90,90
35,35,107,2024-10-05,90,90
36,36,107,2024-10-19,90,90
37,37,107,2024-10-26,0,90
38,38,107,2024-11-02,0,41
39,39,107,2024-11-09,90,28
40,40,107,2024-11-23,90,79
41,41,107,2024-11-30,90,79
42,42,107,2024-12-05,90,90
43,43,107,2024-12-08,90,90
44,44,107,2024-12-16,90,90
45,45,107,2024-12-22,90,90
46,46,107,2024-12-26,90,90
47,47,107,2024-12-29,90,90
48,48,107,2025-01-04,0,90
49,49,107,2025-01-14,0,40
50,50,107,2025-01-18,90,28
51,51,107,2025-01-25,90,90
52,52,107,2025-02-01,90,90
53,53,107,2025-02-15,90,90
54,54,107,2025-02-22,90,90
55,55,107,2025-02-25,90,90
56,56,107,2025-03-09,90,90
57,57,107,2025-03-15,90,90
58,58,107,2025-04-02,90,90
59,59,107,2025-04-05,90,90
60,60,107,2025-04-14,90,90
61,61,107,2025-04-19,90,90
62,62,107,2025-04-27,90,90
63,63,107,2025-05-03,90,90
64,64,107,2025-05-10,90,90
65,65,107,2025-05-20,90,90
66,66,107,2023-08-13,0,90
67,67,107,2023-09-17,0,0
68,68,107,2023-09-24,0,0
