,player_id,datetime,out_points,predpoints
212,79,2025-02-22,1,2
213,79,2025-02-25,1,2
214,79,2025-03-08,0,2
215,79,2025-04-02,0,1
216,79,2025-04-05,1,0
217,79,2025-04-12,1,1
218,79,2025-04-19,0,1
219,79,2025-04-22,0,0
220,79,2025-05-03,0,0
221,79,2025-05-10,0,0
222,79,2025-05-16,0,0
223,8,2024-09-22,1,0
224,8,2024-09-28,0,0
225,8,2024-10-05,1,0
226,8,2024-10-19,0,0
227,8,2024-10-27,1,1
228,8,2024-11-02,0,1
229,8,2024-11-10,0,0
230,8,2024-11-23,1,0
231,8,2024-11-30,1,0
232,8,2024-12-04,6,1
233,8,2024-12-08,2,2
234,8,2024-12-14,0,3
235,8,2024-12-21,0,2
236,8,2024-12-27,0,1
237,8,2025-01-01,0,0
238,8,2025-01-04,0,0
239,8,2025-01-15,0,0
240,8,2025-01-18,0,0
241,8,2025-01-25,0,0
242,8,2025-02-02,0,0
243,8,2025-02-15,0,0
244,8,2025-02-22,0,0
245,8,2025-02-26,0,0
246,8,2025-03-09,0,0
247,8,2025-03-16,0,0
248,8,2025-04-01,2,0
249,8,2025-04-05,2,2
250,8,2025-04-12,2,2
251,8,2025-04-20,6,3
252,8,2025-04-23,7,3
253,8,2025-05-03,1,3
254,8,2025-05-11,1,3
255,8,2025-05-18,7,3
256,8,2023-08-12,0,3
257,8,2023-09-17,0,1
258,8,2023-09-24,0,1
259,8,2023-09-30,0,0
260,8,2023-10-08,0,0
261,8,2023-10-21,0,0
262,8,2023-10-28,6,0
263,8,2023-11-04,0,2
264,8,2023-11-11,1,1
265,8,2023-11-25,0,1
266,8,2023-12-02,1,0
267,8,2023-12-05,1,0
268,8,2023-12-09,0,1
269,8,2023-12-17,1,1
270,8,2023-12-23,0,0
271,8,2023-12-28,0,0
272,8,2023-12-31,1,0
273,8,2024-01-20,1,1
274,8,2024-01-30,1,1
275,8,2024-02-04,3,0
276,8,2024-02-11,6,2
277,8,2024-02-17,9,2
278,8,2024-02-24,8,3
279,8,2024-03-04,10,4
280,8,2024-03-09,2,4
281,8,2024-03-31,6,3
282,8,2024-04-03,0,3
283,8,2024-04-06,0,2
284,8,2024-04-14,0,1
285,8,2024-04-20,6,0
286,8,2024-04-23,0,2
287,8,2024-04-28,1,1
288,8,2024-05-04,0,1
289,8,2024-05-12,1,0
290,8,2024-05-19,0,0
291,8,2023-02-04,0,0
292,8,2023-02-25,0,0
293,8,2023-03-01,0,0
294,8,2023-03-04,0,0
295,8,2023-03-12,0,0
296,8,2023-03-19,1,0
297,8,2023-04-01,0,0
298,8,2023-04-09,1,0
299,8,2023-04-16,0,0
300,8,2023-04-21,0,0
301,8,2023-04-26,0,0
302,8,2023-05-02,2,0
303,8,2023-05-07,6,2
304,8,2023-05-14,1,2
305,8,2023-05-20,2,3
306,8,2023-05-28,13,2
307,449,2024-09-21,11,4
308,449,2024-09-28,1,4
309,449,2024-10-05,8,4
310,449,2024-10-20,2,4
311,449,2024-10-27,1,4
312,449,2024-11-02,2,4
313,449,2024-11-09,1,3
314,449,2024-12-01,8,2
315,449,2024-12-04,6,3
316,449,2024-12-14,1,3
317,449,2024-12-22,4,3
318,449,2024-12-26,2,3
319,449,2024-12-29,15,4
320,449,2025-01-05,0,4
321,449,2025-01-14,2,4
322,449,2025-01-18,11,4
323,449,2025-01-25,5,4
324,449,2025-02-01,6,4
325,449,2025-02-12,1,4
326,449,2025-02-16,6,3
327,449,2025-02-19,7,3
328,449,2025-02-23,6,3
329,449,2025-02-26,6,3
330,449,2025-03-08,2,4
331,449,2025-04-20,6,4
332,449,2025-04-27,5,2
333,449,2025-05-04,0,3
334,449,2025-05-11,1,3
335,449,2025-05-19,0,2
336,449,2023-08-13,1,1
337,449,2023-09-30,1,4
338,449,2023-10-08,1,3
339,449,2023-10-21,6,3
340,449,2023-10-29,5,4
341,449,2023-11-05,2,4
342,449,2023-11-12,7,4
343,449,2023-11-25,8,4
344,449,2023-12-03,13,5
345,449,2023-12-06,12,5
346,449,2023-12-09,4,4
347,449,2023-12-17,9,4
348,449,2023-12-23,5,5
349,449,2023-12-26,8,6
350,449,2024-01-01,0,5
351,449,2024-01-31,1,4
352,449,2024-02-04,1,3
353,449,2024-02-10,4,3
354,449,2024-04-14,1,3
355,449,2024-04-21,9,2
356,449,2024-04-24,1,3
357,449,2024-04-27,1,3
358,449,2024-05-05,0,3
359,449,2024-05-13,1,3
360,449,2024-05-19,6,4
361,449,2022-08-06,1,4
362,449,2022-08-31,2,5
363,449,2022-09-03,1,4
364,449,2022-10-01,0,4
365,449,2022-10-09,0,4
366,449,2022-10-16,1,2
367,449,2022-10-19,8,2
368,449,2022-10-22,1,3
369,449,2022-10-29,2,2
370,449,2022-11-06,2,3
371,449,2022-11-12,2,4
372,449,2022-12-26,2,4
373,449,2022-12-30,8,4
374,449,2023-01-02,5,4
375,449,2023-01-14,0,4
376,449,2023-01-21,1,4
377,449,2023-02-04,1,3
378,449,2023-02-13,6,3
379,449,2023-02-18,12,3
380,449,2023-02-25,6,4
381,449,2023-03-01,7,4
382,449,2023-03-05,6,4
383,449,2023-03-11,2,5
384,449,2023-04-01,0,4
385,449,2023-04-04,0,4
386,449,2023-04-09,5,2
387,449,2023-04-17,9,3
388,449,2023-04-22,5,3
389,449,2023-04-26,5,4
390,449,2023-04-30,4,4
391,449,2023-05-03,7,4
392,449,2023-05-06,7,4
393,449,2023-05-15,13,4
394,449,2023-05-20,1,4
395,449,2023-05-28,4,4
396,583,2024-09-21,1,2
397,583,2024-09-28,1,1
398,583,2024-10-05,1,1
399,583,2024-10-19,2,1
400,583,2024-10-27,1,2
401,583,2024-11-02,7,2
402,583,2024-11-10,2,3
403,583,2024-11-25,1,3
404,583,2024-11-30,2,3
405,583,2024-12-04,1,3
406,583,2024-12-07,0,3
407,583,2024-12-14,6,3
408,583,2024-12-21,6,3
409,583,2024-12-30,1,2
410,583,2025-01-04,2,2
411,583,2025-01-15,6,3
412,583,2025-01-18,0,3
413,583,2025-01-25,2,3
414,583,2025-02-01,2,3
415,583,2025-02-15,1,2
416,583,2025-02-23,0,2
417,583,2025-02-26,1,2
418,583,2025-03-10,7,2
419,583,2025-04-02,2,3
420,583,2025-04-07,11,3
421,583,2025-04-13,2,3
422,583,2025-04-16,6,4
423,583,2025-04-19,0,4
424,583,2025-04-26,6,4
425,583,2025-05-04,2,3
426,583,2025-05-11,7,3
427,583,2025-05-18,2,3
428,583,2023-08-12,0,4
429,583,2023-09-16,0,0
430,583,2023-09-24,1,0
431,583,2023-09-30,1,0
432,583,2023-10-08,0,0
433,583,2023-10-21,1,0
434,583,2023-10-28,0,1
435,583,2023-11-04,0,0
436,583,2023-11-11,0,1
437,583,2023-11-25,2,1
438,583,2023-12-02,7,2
439,583,2023-12-07,1,3
440,583,2023-12-10,1,3
441,583,2023-12-16,9,3
442,583,2023-12-23,1,3
443,583,2023-12-26,1,2
444,583,2024-01-01,0,2
445,583,2024-01-30,1,2
446,583,2024-02-03,1,2
447,583,2024-02-10,1,1
448,583,2024-02-17,1,1
449,583,2024-02-24,0,1
450,583,2024-03-02,7,2
451,583,2024-03-11,1,2
452,583,2024-04-13,1,2
453,583,2024-04-24,0,2
454,583,2024-04-27,2,1
455,583,2024-05-04,2,2
456,583,2024-05-11,2,3
457,583,2022-08-06,0,3
458,583,2022-08-30,0,0
459,583,2022-09-03,0,0
460,583,2022-09-16,0,0
461,583,2022-10-01,0,0
462,583,2022-10-08,0,0
463,583,2022-10-16,0,0
464,583,2022-10-19,0,0
465,583,2022-10-23,0,0
466,583,2022-10-29,0,0
467,583,2022-11-06,0,0
468,583,2022-11-12,0,0
469,583,2022-12-26,0,0
470,583,2022-12-31,0,0
471,583,2023-01-04,0,0
472,583,2023-01-14,0,0
473,583,2023-01-21,0,0
474,583,2023-02-04,0,0
475,583,2023-02-11,0,0
476,583,2023-02-18,0,0
477,583,2023-02-25,0,0
478,583,2023-03-04,0,0
479,583,2023-03-12,0,0
480,583,2023-03-15,0,0
481,583,2023-03-18,0,0
482,583,2023-04-02,0,0
483,583,2023-04-08,0,0
484,583,2023-04-15,0,0
485,583,2023-04-21,0,0
486,583,2023-04-27,0,0
487,583,2023-04-30,0,0
488,583,2023-05-08,0,0
489,583,2023-05-13,0,0
490,583,2023-05-21,1,0
491,583,2023-05-28,1,0
492,687,2024-09-21,0,1
493,687,2024-09-29,1,0
494,687,2024-10-06,0,1
495,687,2024-10-19,0,0
496,687,2024-10-27,0,0
497,687,2024-11-03,2,0
498,687,2024-11-10,1,2
499,687,2024-11-23,6,2
500,687,2024-12-01,2,3
501,687,2024-12-05,2,3
502,687,2024-12-08,0,3
503,687,2024-12-15,6,2
504,687,2024-12-22,-1,2
505,687,2024-12-26,1,3
506,687,2024-12-29,1,2
507,687,2025-01-04,0,2
508,687,2025-01-15,1,2
509,687,2025-01-19,0,2
510,687,2025-01-26,1,2
511,755,2024-12-09,0,0
512,755,2024-12-16,1,0
513,755,2024-12-21,1,0
514,755,2024-12-26,0,0
515,755,2024-12-29,0,0
516,755,2025-01-04,0,0
517,755,2025-01-14,1,0
518,755,2025-01-18,1,0
519,755,2025-01-26,1,1
520,755,2025-02-03,1,1
521,755,2025-02-15,1,1
522,755,2025-02-22,7,1
523,755,2025-02-27,6,2
524,755,2025-03-10,2,2
525,755,2025-03-15,0,3
526,755,2025-04-01,2,2
527,755,2025-04-05,1,2
528,755,2025-04-13,1,2
529,755,2025-04-19,1,2
530,755,2025-04-26,0,1
531,755,2025-05-04,0,0
532,755,2025-05-11,0,0
533,755,2025-05-18,0,0
534,498,2024-09-22,0,3
535,498,2024-09-28,2,2
536,498,2024-10-05,4,2
537,498,2024-10-20,2,3
538,498,2024-10-26,6,3
539,498,2024-11-02,1,3
540,498,2024-11-09,0,3
541,498,2024-11-23,0,3
542,498,2024-12-01,1,2
543,498,2024-12-04,1,3
544,498,2024-12-07,4,2
545,498,2024-12-15,0,2
546,498,2024-12-21,0,1
547,498,2024-12-26,2,2
548,498,2024-12-29,6,3
549,498,2025-01-04,2,3
550,498,2025-01-14,0,4
551,498,2025-01-19,1,2
552,498,2025-01-25,0,2
553,498,2025-02-02,0,1
554,498,2025-02-15,6,0
555,498,2025-02-23,1,2
556,498,2025-02-26,0,3
557,498,2025-03-08,1,2
558,498,2025-03-15,1,2
559,498,2025-04-02,1,2
560,498,2025-04-06,1,1
561,498,2025-04-12,1,1
562,498,2025-04-19,0,2
563,498,2025-04-22,0,1
564,498,2025-05-02,1,1
565,498,2025-05-10,6,1
566,498,2025-05-20,0,2
567,498,2023-08-11,6,1
568,498,2023-09-16,1,0
569,498,2023-09-23,0,0
570,498,2023-09-30,0,0
571,498,2023-10-08,6,0
572,498,2023-10-21,0,2
573,498,2023-10-29,0,1
574,498,2023-11-04,1,1
575,498,2023-11-12,0,1
576,498,2023-11-25,0,0
577,498,2023-12-03,1,0
578,498,2023-12-06,5,1
579,498,2023-12-10,0,2
580,498,2023-12-16,8,1
581,498,2023-12-27,0,3
582,498,2023-12-30,1,2
583,498,2024-01-13,0,2
584,498,2024-01-31,2,1
585,498,2024-02-05,0,2
586,498,2024-02-10,0,1
587,498,2024-02-17,0,0
588,498,2024-02-20,0,0
589,498,2024-02-24,0,0
590,498,2024-03-03,0,0
591,498,2024-03-10,0,0
592,498,2024-03-31,6,0
593,498,2024-04-03,2,2
594,498,2024-04-06,8,3
595,498,2024-04-13,2,3
596,498,2024-04-25,1,4
597,498,2024-04-28,0,3
598,498,2024-05-04,0,2
599,498,2024-05-11,1,1
600,498,2024-05-14,0,0
601,498,2024-05-19,0,0
602,498,2022-08-07,0,0
603,498,2022-08-31,1,0
604,498,2022-09-03,0,0
605,498,2022-09-17,0,0
606,498,2022-10-02,0,0
607,498,2022-10-08,1,0
608,498,2022-10-16,0,0
609,498,2022-10-22,0,0
610,498,2022-10-29,0,0
611,498,2022-11-05,0,0
612,498,2022-11-12,0,0
613,498,2022-12-28,5,0
614,498,2022-12-31,2,2
615,498,2023-01-05,1,2
616,498,2023-01-14,0,3
617,498,2023-01-19,1,2
618,498,2023-01-22,1,2
619,498,2023-02-05,2,2
620,498,2023-02-12,0,3
621,498,2023-02-15,0,2
622,498,2023-02-18,0,1
623,498,2023-02-25,2,1
624,498,2023-03-04,0,2
625,498,2023-03-11,0,1
626,498,2023-04-01,0,1
627,498,2023-04-08,0,1
628,498,2023-04-15,0,0
629,498,2023-04-26,0,0
630,498,2023-04-30,0,0
631,498,2023-05-03,0,0
632,498,2023-05-06,2,0
633,498,2023-05-14,0,2
634,498,2023-05-21,6,1
635,498,2023-05-24,2,3
636,498,2023-05-28,2,3
637,154,2024-10-19,0,0
638,154,2024-10-26,0,0
639,154,2024-11-04,0,0
640,154,2024-11-09,0,0
641,154,2024-11-23,0,0
642,154,2024-11-30,0,0
643,154,2024-12-04,0,0
644,154,2024-12-07,0,0
645,154,2024-12-15,1,0
646,154,2024-12-21,0,0
647,154,2024-12-27,0,0
648,154,2025-01-01,0,0
649,154,2025-01-04,0,0
650,154,2025-01-14,0,0
651,154,2025-01-18,0,0
652,154,2025-01-26,0,0
653,154,2025-02-02,0,0
654,154,2025-02-15,0,0
655,154,2025-02-21,0,0
656,154,2025-02-26,0,0
657,154,2025-03-08,0,0
658,154,2025-03-15,0,0
659,154,2025-04-02,0,0
660,154,2025-04-06,0,0
661,154,2025-04-12,0,0
662,154,2025-04-19,0,0
663,154,2025-05-01,0,0
664,154,2025-05-04,0,0
665,154,2025-05-10,0,0
666,154,2025-05-18,0,0
667,512,2024-12-07,0,0
668,512,2024-12-15,0,0
669,512,2024-12-21,0,0
670,512,2024-12-26,0,0
671,512,2024-12-29,0,0
672,512,2025-01-04,0,0
673,512,2025-01-14,0,0
674,512,2025-01-19,0,0
675,512,2025-01-25,0,0
676,512,2025-02-02,0,0
677,512,2025-02-15,0,0
678,512,2025-02-23,0,0
679,512,2025-02-26,0,0
680,512,2025-03-08,0,0
681,512,2025-03-15,0,0
682,512,2025-04-02,0,0
683,512,2025-04-06,0,0
684,512,2025-04-12,0,0
685,512,2025-04-19,0,0
686,512,2025-04-22,0,0
687,512,2025-05-02,0,0
688,512,2025-05-10,0,0
689,512,2025-05-20,0,0
690,512,2022-08-07,0,0
691,512,2022-08-31,0,0
692,512,2022-09-03,0,0
693,512,2022-09-17,0,0
694,512,2022-10-02,0,0
695,512,2022-10-08,0,0
696,512,2022-10-16,0,0
697,512,2022-10-22,0,0
698,512,2022-10-29,0,0
699,512,2022-11-05,0,0
700,512,2022-11-12,0,0
701,512,2022-12-28,0,0
702,512,2022-12-31,0,0
703,512,2023-01-05,0,0
704,512,2023-01-14,0,0
705,512,2023-01-19,0,0
706,512,2023-01-22,0,0
707,512,2023-02-05,0,0
708,512,2023-02-12,0,0
709,512,2023-02-15,0,0
710,512,2023-02-18,0,0
711,512,2023-02-25,0,0
712,512,2023-03-04,0,0
713,512,2023-03-11,0,0
714,512,2023-04-01,0,0
715,512,2023-04-08,0,0
716,512,2023-04-15,0,0
717,512,2023-04-26,0,0
718,512,2023-04-30,0,0
719,512,2023-05-03,0,0
720,512,2023-05-06,0,0
721,512,2023-05-14,0,0
722,512,2023-05-21,0,0
723,512,2023-05-24,0,0
724,512,2023-05-28,0,0
725,644,2024-09-21,0,0
726,644,2024-09-30,0,0
727,644,2024-10-05,0,0
728,644,2024-10-19,0,0
729,644,2024-10-26,0,0
730,644,2024-11-02,0,0
731,644,2024-11-09,0,0
732,644,2024-11-24,0,0
733,644,2024-11-29,0,0
734,644,2024-12-04,0,0
735,644,2024-12-07,0,0
736,644,2024-12-15,0,0
737,644,2024-12-22,0,0
738,644,2024-12-26,0,0
739,644,2024-12-29,0,0
740,644,2025-01-04,0,0
741,644,2025-01-16,0,0
742,644,2025-01-19,0,0
743,644,2025-01-25,0,0
744,644,2025-02-01,0,0
745,644,2025-02-15,0,0
746,644,2025-02-22,0,0
747,644,2025-02-25,0,1
748,644,2025-03-08,1,2
749,644,2025-03-15,1,2
750,644,2025-04-02,0,2
751,644,2025-04-06,0,1
752,644,2025-04-12,0,1
753,644,2025-04-19,0,0
754,644,2025-04-26,0,0
755,644,2025-05-03,0,0
756,644,2025-05-10,0,0
757,644,2025-05-18,0,0
758,644,2022-08-06,0,0
759,644,2022-08-30,2,2
760,644,2022-09-03,1,3
761,644,2022-09-16,2,3
762,644,2022-10-01,1,3
763,644,2022-10-08,0,2
764,644,2022-10-16,1,3
765,644,2022-11-06,1,2
766,644,2022-11-12,1,2
767,644,2022-12-26,0,2
768,644,2022-12-31,1,1
769,644,2023-01-04,1,2
770,644,2023-02-18,5,1
771,644,2023-02-25,1,2
772,644,2023-03-04,8,3
773,644,2023-03-12,9,3
774,644,2023-03-15,1,3
775,644,2023-03-18,1,3
776,644,2023-04-08,0,2
777,644,2023-04-15,0,2
778,644,2023-04-21,4,2
779,644,2023-04-27,0,2
780,644,2023-04-30,1,1
781,644,2023-05-08,0,2
782,644,2023-05-13,0,2
783,644,2023-05-21,0,1
784,644,2023-05-28,0,0
785,589,2024-09-21,1,2
786,589,2024-09-28,1,2
787,589,2024-10-05,5,2
788,589,2024-10-19,2,3
789,589,2024-10-27,0,3
